dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
1;MWTL physical monitoring network: current water data;NULL;Attribution (CC BY);Release with permission of the appropriate parties
2;Algaebase;"Guiry, M.D. & Guiry, G.M. 2012. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on dd Month yyyy.";For more information on the restrictions, use contact information.;NULL
3;VLIZ's Marine Species Register;"VLIZ (2004). Data from VLIZ's Marine Species Register, provided by Flanders Marine Institute (VLIZ)- http://www.vliz.be/vmdcdata/aphia/index.htm; searched on dd/mm/yyyy.";Attribution (CC BY);NULL
4;Arctic Benthic Fauna;NULL;NULL;NULL
5;Arctic hard-bottom fauna [Jan Mayen I.];NULL;NULL;NULL
6;Arctic hard-bottom fauna [Svalbard];NULL;NULL;NULL
7;Temporal patterns of bacterial diversity in a changing environment;NULL;Restricted;Restrictions available at contact person
8;Beached Bird Survey;NULL;Restricted;Not freely available
9;Belgian Continental Shelf Copepoda;NULL;Attribution (CC BY);
10;Biographical Etymology of Marine Organism Names;HANSSON, H. (2004). Data from BEMON, Biographical Etymology of Marine Organism Names  http://www.tmbl.gu.se/libdb/taxon/personetymol/index.htm;Unrestricted;NULL
11;Benthic fauna around Franz Josef Land;Dahle S., R. Palerud, N. Anisimova, 1992: Benthic fauna around Franz Josef Land. Akvaplan-niva, Norway.;Attribution-NonCommercial (CC BY-NC);NULL
12;Benthic Fauna in the Barents Sea;Dahle S., S. Cochrane, 1992: Northern Barents Sea 1992. Akvaplan-niva, Norway;Attribution-NonCommercial (CC BY-NC);NULL
13;Benthic fauna in the Kara Sea;NULL;NULL;NULL
14;Benthic fauna of Spitsbergen fjords;NULL;NULL;NULL
15;Benthos baseline survey, Faeroes;NULL;NULL;NULL
16;<b>ME-1a.</b> Breeding birds along the Zeeschelde, Belgium;"Van den Bergh, E.; Onderzoeksgroep Ecosysteemdiversiteit - INBO, Belgium; (2004): ME-1a. Breeding birds along the Zeeschelde, Belgium.";Attribution (CC BY);Release with permission of the appropriate parties
17;Catalog of Fishes;Data from Catalog of Fishes Database  http://www.calacademy.org/research/ichthyology/ searched on dd/mm/yyyy.;Attribution (CC BY);
18;CephBase;"NRCC, University of Texas Medical Branch, Phillip Lee, and James B. Wood; Biology Department, Dalhousie University, Cartiona L. Day and Ronald K. O'Dor., CephBase (European data). National Resource Center for Cephalopods (NRCC), 11 Aug 2004, Galveston, Texas.";Attribution (CC BY);
19;Chemical analysis of estrogens, organochlorine and organonitrogen pesticides as possible endocrine disruptors Scheldt-estuary;"Noppe, H.; De Brabander, H.; De Wasch, K.;  Laboratory for Chemical Analysis - Ugent, Belgium; (2006): Chemical analysis of estrogens, organochlorine and organonitrogen pesticides as possible endocrine disruptors Scheldt-estuary.";Unrestricted after moratorium period;NULL
20;Chemical analysis of PAK's, Organotin, PCB's, PBDE's and organochlorine pesticides as possible endocrine disruptors in Scheldt estuary;"Monteyne, E.; Roose, P.; Management Unit of the North Sea Mathematical Models - RBINS; (2003): Chemical analysis of PAK's, Organotin, PCB's, PBDE's and organochlorine pesticides as possible endocrine disruptors in Scheldt estuary.";Attribution (CC BY);
21;Check List of European Marine Mollusca;Data from CLEMAN: Check List of European Marine Mollusca Database  http://www.somali.asso.fr/clemam/index.clemam.html searched on dd/mm/yyyy.;Attribution (CC BY);
22;<b>ME-4</b> Biomonitoring fish stocks in the Zeeschelde using paired fyke nets;"Breine, J.; Onderzoeksgroep Ecosysteemdiversiteit - INBO; (2017): ME-4 Monitoring the estuary along the Zeeschelde- fish stocks.";Attribution (CC BY);NULL
23;Dispersal of invertebrate key species based on molecular methods.;"Remerie, T.; Marine Biology Section - Ugent; (2006): Dispersal of invertebrate key species based on molecular methods.";Unrestricted after moratorium period;NULL
