,sdg,relevance,fos_ids,fos_names,publication
0,SDG_14,1.0,2984876570,Pacific ocean,http://dev.marineinfo.org/id/publication/351092
0,SDG_14,5.0,"134097258, 2993244835, 559758991, 129513315","Sea surface temperature, Marine biodiversity, Algae, Salinity",https://marineinfo.org/id/publication/282187
1,SDG_13,1.0,134097258,Sea surface temperature,https://marineinfo.org/id/publication/282187
2,SDG_15,1.0,2779043415,Mediterranean sea,https://marineinfo.org/id/publication/282187
0,SDG_3,8.0,"2781255879, 2779987062, 2781471917, 59659247, 39297687, 130217890, 519853106","Spots, Mussel, Gonad, Reproduction, Gametogenesis, Biodiversity, Reproductive biology",https://marineinfo.org/id/publication/294591
1,SDG_2,7.0,"2779987062, 110175623, 514101110, 189569837, 130217890, 172269249","Mussel, Broodstock, Fishing, Metapopulation, Biodiversity, Marine invertebrates",https://marineinfo.org/id/publication/294591
2,SDG_14,6.0,"2779987062, 110175623, 514101110, 130217890, 172269249","Mussel, Broodstock, Fishing, Biodiversity, Marine invertebrates",https://marineinfo.org/id/publication/294591
0,SDG_14,3.0,"86909935, 129513315","Aquaculture, Salinity",https://marineinfo.org/id/publication/312262
1,SDG_15,3.0,2992867484,Habitat suitability,https://marineinfo.org/id/publication/312262
2,SDG_3,1.0,76318530,Area under the curve,https://marineinfo.org/id/publication/312262
0,SDG_15,3.0,"2992867484, 2777952078","Habitat suitability, Nature Conservation",https://marineinfo.org/id/publication/321803
1,SDG_1,2.0,186191158,Vulnerability,https://marineinfo.org/id/publication/321803
2,SDG_3,2.0,186191158,Vulnerability,https://marineinfo.org/id/publication/321803
0,SDG_2,1.0,2779735984,Jellyfish,https://marineinfo.org/id/publication/253053
1,SDG_14,1.0,2779735984,Jellyfish,https://marineinfo.org/id/publication/253053
0,SDG_14,2.0,"33613203, 129513315","Seabed, Salinity",https://marineinfo.org/id/publication/310206
1,SDG_6,1.0,2993409449,Current velocity,https://marineinfo.org/id/publication/310206
2,SDG_7,1.0,61980418,Location,https://marineinfo.org/id/publication/310206
0,SDG_14,1.0,98083399,Underwater,https://marineinfo.org/id/publication/262234
0,SDG_14,2.0,"2993244835, 2780495617","Marine biodiversity, Marine life",https://marineinfo.org/id/publication/323739
1,SDG_11,1.0,79581498,Suite,https://marineinfo.org/id/publication/323739
0,SDG_3,6.0,"2909137948, 2781380971, 2778988552, 118494813, 57742111","Lateral margin, Pinna, Carbachol, Hyaline, Histology",https://marineinfo.org/id/publication/261513
1,SDG_9,4.0,91881484,Fluorescence,https://marineinfo.org/id/publication/261513
2,SDG_2,1.0,60359462,Extinction,https://marineinfo.org/id/publication/261513
0,SDG_7,2.0,"61980418, 2992152313","Location, Primary productivity",https://marineinfo.org/id/publication/253171
1,SDG_2,1.0,2994199040,Food availability,https://marineinfo.org/id/publication/253171
2,SDG_14,1.0,2994199040,Food availability,https://marineinfo.org/id/publication/253171
0,SDG_2,2.0,"135895429, 113513581","Fisheries science, Exclusive economic zone",https://marineinfo.org/id/publication/261518
1,SDG_14,2.0,"135895429, 113513581","Fisheries science, Exclusive economic zone",https://marineinfo.org/id/publication/261518
0,SDG_15,2.0,132124917,Species distribution,https://marineinfo.org/id/publication/253129
1,SDG_7,1.0,61980418,Location,https://marineinfo.org/id/publication/253129
0,SDG_14,14.0,"2993244835, 2988134249, 2780495617","Marine biodiversity, Deep water, Marine life",https://marineinfo.org/id/publication/224272
1,SDG_3,2.0,"2775899829, 2776743756","Globe, Safeguarding",https://marineinfo.org/id/publication/224272
2,SDG_12,2.0,2780748813,Sustainable management,https://marineinfo.org/id/publication/224272
0,SDG_2,3.0,2776384079,Marine mammal,https://marineinfo.org/id/publication/144333
1,SDG_14,3.0,2776384079,Marine mammal,https://marineinfo.org/id/publication/144333
0,SDG_9,1.0,22607594,Enabling,https://marineinfo.org/id/publication/286565
0,SDG_14,3.0,"134097258, 129513315","Sea surface temperature, Salinity",https://marineinfo.org/id/publication/290474
1,SDG_15,3.0,2779043415,Mediterranean sea,https://marineinfo.org/id/publication/290474
2,SDG_12,2.0,2780748813,Sustainable management,https://marineinfo.org/id/publication/290474
0,SDG_14,9.0,"2993244835, 108469399, 2983223943, 2986433049, 518008717","Marine biodiversity, Plankton, North sea, Baltic sea, Arctic",https://marineinfo.org/id/publication/143572
1,SDG_13,3.0,"108469399, 518008717","Plankton, Arctic",https://marineinfo.org/id/publication/143572
2,SDG_2,2.0,2986433049,Baltic sea,https://marineinfo.org/id/publication/143572
0,SDG_2,4.0,"72958200, 2992957956, 24061886","Trophic level, Marine fish, Overfishing",https://marineinfo.org/id/publication/303230
1,SDG_14,3.0,"2992957956, 24061886","Marine fish, Overfishing",https://marineinfo.org/id/publication/303230
2,SDG_3,1.0,112672928,Offspring,https://marineinfo.org/id/publication/303230
0,SDG_15,7.0,"2779043415, 2992867484, 53565203","Mediterranean sea, Habitat suitability, Species richness",https://marineinfo.org/id/publication/303238
1,SDG_14,4.0,158836135,Zooplankton,https://marineinfo.org/id/publication/303238
2,SDG_7,1.0,61980418,Location,https://marineinfo.org/id/publication/303238
0,SDG_14,4.0,2993244835,Marine biodiversity,https://marineinfo.org/id/publication/329678
1,SDG_15,4.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/329678
2,SDG_9,1.0,2776136876,Fact table,https://marineinfo.org/id/publication/329678
0,SDG_2,2.0,77044568,Reef,https://marineinfo.org/id/publication/281978
1,SDG_13,2.0,77044568,Reef,https://marineinfo.org/id/publication/281978
2,SDG_14,2.0,77044568,Reef,https://marineinfo.org/id/publication/281978
0,SDG_6,3.0,2989017451,Field data,https://marineinfo.org/id/publication/313226
0,SDG_2,8.0,"65193109, 202041845, 135895429, 201490090, 152613627","Groundfish, Fisheries management, Fisheries science, Stock assessment, Overexploitation",https://marineinfo.org/id/publication/254506
1,SDG_14,7.0,"202041845, 135895429, 65193109, 2776048852","Fisheries management, Fisheries science, Groundfish, Ocean Biogeographic Information System",https://marineinfo.org/id/publication/254506
2,SDG_11,1.0,160331591,Occupancy,https://marineinfo.org/id/publication/254506
0,SDG_15,10.0,"22215628, 25147867, 2983513313","Indicator species, Beta diversity, Conservation planning",https://marineinfo.org/id/publication/253633
1,SDG_2,4.0,"202041845, 2983513313","Fisheries management, Conservation planning",https://marineinfo.org/id/publication/253633
2,SDG_14,3.0,"202041845, 2779042980","Fisheries management, Ecosystem-based management",https://marineinfo.org/id/publication/253633
0,SDG_9,1.0,157764524,Throughput,https://marineinfo.org/id/publication/317553
1,SDG_14,1.0,2776048852,Ocean Biogeographic Information System,https://marineinfo.org/id/publication/317553
2,SDG_15,1.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/317553
0,SDG_2,3.0,"2992957956, 2777743550","Marine fish, Squid",https://marineinfo.org/id/publication/253073
1,SDG_14,3.0,"2992957956, 2777743550","Marine fish, Squid",https://marineinfo.org/id/publication/253073
2,SDG_15,2.0,53565203,Species richness,https://marineinfo.org/id/publication/253073
0,SDG_3,2.0,"42407357, 186079640","Physiology, Prevalence",https://marineinfo.org/id/publication/302583
1,SDG_14,2.0,"2777981335, 149348798","Seabird, Upwelling",https://marineinfo.org/id/publication/302583
2,SDG_2,1.0,2777981335,Seabird,https://marineinfo.org/id/publication/302583
0,SDG_11,3.0,"2778473898, 46312422","Repertoire, Communication",https://marineinfo.org/id/publication/292836
1,SDG_3,2.0,2777343278,Annelid,https://marineinfo.org/id/publication/292836
0,SDG_14,7.0,"21790881, 33613203","Deep sea, Seabed",https://marineinfo.org/id/publication/317539
1,SDG_7,2.0,61980418,Location,https://marineinfo.org/id/publication/317539
2,SDG_15,2.0,187604713,Global biodiversity,https://marineinfo.org/id/publication/317539
0,SDG_14,3.0,2778902744,Diatom,https://marineinfo.org/id/publication/317573
1,SDG_10,1.0,77357849,Origin,https://marineinfo.org/id/publication/317573
0,SDG_13,1.0,108469399,Plankton,https://marineinfo.org/id/publication/317194
1,SDG_14,1.0,108469399,Plankton,https://marineinfo.org/id/publication/317194
0,SDG_2,2.0,"60359462, 149340888","Extinction, Bycatch",https://marineinfo.org/id/publication/317545
1,SDG_14,1.0,149340888,Bycatch,https://marineinfo.org/id/publication/317545
